40	80	12	16
88	78	24	16
146	70	36	16
206	68	48	16
268	66	60	16
328	64	72	16
394	64	84	16
452	64	96	16
512	62	108	16
564	70	120	16
618	76	132	16
32	162	12	32
86	156	24	32
140	154	36	32
202	150	48	32
266	146	60	32
330	146	72	32
394	148	84	32
458	146	96	32
518	144	108	32
574	150	120	32
624	154	132	32
38	236	12	48
84	238	24	48
140	234	36	48
200	234	48	48
268	234	60	48
332	232	72	48
400	230	84	48
460	230	96	48
524	230	108	48
578	226	120	48
628	226	132	48
34	314	12	64
84	316	24	64
144	322	36	64
204	320	48	64
266	318	60	64
332	314	72	64
396	314	84	64
458	314	96	64
518	312	108	64
576	310	120	64
626	308	132	64
16	394	12	80
90	400	24	80
150	398	36	80
208	400	48	80
266	400	60	80
332	402	72	80
394	402	84	80
456	396	96	80
516	396	108	80
572	388	120	80
620	388	132	80
